Name,Level,OverallScore,Club,Decisions,Composure,First Touch,Tempo,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Balance,Carries,Flair,Skills,Takeons,Close,Long Shots,Penalty,Set Piece,Pass Accuracy,Cross,Pass Range,Through,Intensity,Pressing,Recovery,Stamina,Bravery,Blocking,Marking,Tackling,Anticipation,Awareness,Concentration,Positioning,Aerial Duels,Coordination,Heading,Jumping,Acceleration,Agility,Pace,Reactions,Aggression,Duels,Hold Up,Throwing,TechnicalScore,MentalScore,PhysicalScore,TacticalScore
Jacob Bruun Larsen,85,74.6,Burnley,Good,Good,Good,Good,Average,Average,Good,Average,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Average,Excellent,Good,Average,Average,Average,Good,Good,Average,Average,Average,Average,Average,Average,Average,Good,Poor,Average,Average,Average,Good,Good,Good,Good,Average,Good,Good,Average,88,77,68,65
Nayef Aguerd,86,74.6,West Ham United,Good,Good,Average,Good,Average,Good,Good,Excellent,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Excellent,Good,Good,Average,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Average,Good,Excellent,Average,Average,Good,Good,Good,Good,Average,Average,68,73,75,82
Thomas Kaminski,86,74.2,Luton Town,Good,Good,Average,Average,Good,Good,Good,Excellent,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Good,Good,Good,Good,Good,Excellent,Average,Average,Good,Excellent,Good,Excellent,Excellent,Good,Average,Excellent,Average,Excellent,Average,Excellent,Average,Good,Average,Good,65,72,78,82
Vladimir Coufal,87,74.2,West Ham United,Good,Good,Good,Average,Good,Good,Good,Excellent,Average,Good,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Good,Excellent,Good,Average,Good,Average,Good,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Average,Good,Good,Excellent,Good,Good,Excellent,68,77,80,72
Rasmus Højlund,87,74.2,Manchester United,Average,Average,Good,Average,Average,Good,Excellent,Excellent,Good,Average,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Average,Average,Average,Good,Average,Good,Average,Good,Good,Good,Average,Good,Good,Excellent,Good,Average,Excellent,Excellent,Average,72,77,80,68
Dominic Calvert-Lewin,86,74.2,Everton,Good,Average,Average,Average,Good,Good,Average,Good,Good,Average,Good,Good,Average,Average,Average,Average,Good,Good,Good,Average,Good,Average,Average,Average,Good,Good,Good,Average,Good,Average,Average,Average,Good,Good,Good,Average,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Good,68,70,87,72
Andre Ogbonna,87,74.2,West Ham United,Average,Average,Average,Good,Average,Good,Average,Good,Average,Good,Average,Average,Good,Average,Average,Good,Average,Average,Average,Average,Good,Average,Average,Average,Good,Average,Average,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Average,Excellent,Excellent,Good,Average,Good,Good,Good,Excellent,Good,Average,65,67,82,83
Alejandro Garnacho,87,74.2,Manchester United,Good,Good,Good,Average,Average,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Average,Average,Average,Average,Average,Average,Good,Good,Average,Good,Average,Average,Average,Average,Good,Average,Average,Average,Average,Excellent,Average,Good,Excellent,Excellent,Excellent,Good,Good,Average,Average,Average,73,78,78,67
Dara O'Shea,84,74.2,Burnley,Good,Good,Average,Good,Good,Good,Average,Good,Average,Good,Average,Average,Good,Average,Average,Average,Good,Average,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Excellent,Good,Excellent,Excellent,Good,Average,Good,Average,Good,Good,Average,Good,67,72,80,78
Matheus Nunes,87,73.8,Manchester City,Average,Excellent,Excellent,Good,Average,Average,Good,Average,Excellent,Excellent,Good,Excellent,Excellent,Excellent,,Excellent,Average,Good,Good,Good,Excellent,Good,Excellent,Excellent,Average,Average,Average,Good,Average,Average,Poor,Poor,Average,Average,Average,Average,Good,Good,Average,Average,Good,Excellent,Good,Excellent,Average,Average,Average,Average,82,82,73,58
Marvelous Nakamba,85,73.7,Luton Town,Good,Average,Average,Average,Average,Average,Good,Excellent,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Poor,Average,Average,Average,Excellent,Excellent,Good,Excellent,Good,Good,Average,Average,62,67,73,93
Harvey Barnes,87,73.3,Newcastle United,Average,Good,Good,Average,Average,Average,Good,Good,Excellent,Average,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Average,Average,Good,Good,Average,Average,Good,Good,Good,Good,Average,Poor,Average,Poor,Good,Good,Good,Good,Average,Good,Average,Average,Excellent,Good,Good,Good,Poor,Average,Average,Average,80,75,68,70
Jakub Kiwior,86,73.3,Arsenal,Good,Average,Average,Average,Average,Average,Good,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Good,Excellent,Average,Good,Excellent,Average,Average,Average,Good,Excellent,Excellent,Average,Excellent,60,67,80,87
Tahith Chong,85,73.3,Luton Town,Good,Good,Excellent,Average,Average,Average,Good,Average,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Average,Average,Average,Good,Good,Average,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Average,Average,Poor,Good,Average,Average,Good,Excellent,Good,Good,Average,Average,Average,Average,75,75,68,75
James McAtee,86,73.3,Sheffield United,Good,Excellent,Good,Good,Average,Average,Good,Average,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Average,Good,Good,Average,Average,Average,Average,Average,Good,Good,Good,Average,Poor,Average,Average,Average,Good,Good,Good,Good,Average,Average,Average,Average,82,78,65,68
Timo Werner,88,72.9,Tottenham Hotspur,Good,Average,Good,Average,Average,Average,Good,Good,Good,Good,Excellent,Good,Good,Average,Average,Good,Good,Good,Good,Average,Good,Average,Average,Average,Good,Excellent,Good,Good,Average,Good,Average,Average,Average,Average,Average,Good,Average,Good,Good,Average,Excellent,Excellent,Excellent,Good,Average,Average,Average,Average,72,73,75,72
Tariq Lamptey,86,72.5,Brighton,Average,Average,Good,Average,Average,Average,Good,Good,Average,Average,Good,Excellent,Excellent,Good,Good,Excellent,Average,Average,Average,Average,Good,Good,Good,Average,Good,Good,Good,Good,Average,Average,Average,Good,Good,Good,Good,Good,Poor,Average,Average,Average,Excellent,Excellent,Excellent,Good,Average,Average,Average,Average,77,68,70,75
Robert Sánchez,85,72.5,Chelsea,Average,Average,Average,Average,Average,Good,Average,Good,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Average,Good,Excellent,Good,Average,Excellent,Good,Excellent,Good,Good,Good,Excellent,Average,Excellent,63,65,85,77
Guglielmo Vicario,89,72.5,Tottenham Hotspur,Good,Good,Average,Good,Average,Good,Good,Excellent,Average,,,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Excellent,Average,Average,Good,Good,Excellent,Good,Good,Excellent,Average,Good,Good,Excellent,Good,Excellent,Good,Good,Average,Good,67,62,82,80
Julio Enciso,86,72.5,Brighton,Average,Good,Excellent,Average,Average,Average,Good,Average,Excellent,Good,Good,Good,Excellent,Excellent,Good,Excellent,Average,Good,Average,Average,Good,Average,Good,Average,Average,Good,Average,Good,Good,Good,Average,Average,Good,Good,Good,Good,Poor,Average,Average,Poor,Good,Excellent,Good,Good,Average,Average,Average,Average,75,77,65,73
Anthony Elanga,88,72.1,Nottingham Forest,Average,Good,Good,Average,Average,Average,Good,Average,Excellent,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Good,Average,Average,Average,Good,Average,Average,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Excellent,Excellent,Good,Average,Average,Average,Average,75,75,72,67
Dele Alli,84,72.1,Everton,Good,Good,Good,Good,Poor,Good,Average,Average,Good,Good,Good,Excellent,Good,Good,Good,Average,Good,Good,Average,Average,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Average,Average,Good,Good,Good,Good,Good,Good,Average,Good,Average,Good,Good,Average,77,73,75,63
Adama Traore,86,71.7,Fulham,Average,Good,Good,Good,Average,Average,Good,Average,Excellent,Average,Good,Excellent,Excellent,Good,Good,Excellent,Average,Average,Average,Average,Good,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Excellent,Good,Excellent,Good,Average,Excellent,Good,Average,77,73,77,60
Shane Duffy,84,71.7,Brighton,Good,Average,Good,Average,Good,Average,Average,Excellent,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Average,Excellent,Good,Average,Average,Average,Average,Good,Excellent,Excellent,Excellent,60,67,80,80
Emile Smith Rowe,86,71.3,Arsenal,Good,Good,Good,Good,Average,Average,Good,Average,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Good,Average,Average,Good,Good,Good,Good,Average,Average,Average,Average,80,75,68,62
Arnaut Danjuma,86,71.3,Everton,Average,Good,Good,Average,Average,Average,Good,Average,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Average,Good,Average,Good,Average,Average,Poor,Average,Poor,Good,Average,Average,Average,Average,Average,Average,Good,Poor,Average,Good,Average,Average,Good,Good,Good,Good,Average,Good,Good,Average,80,75,72,58
Mykhaylo Mudryk,86,70.8,Chelsea,Average,Good,Good,Average,Average,Average,Good,Average,Excellent,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Excellent,Excellent,Excellent,Good,Good,Average,Average,Average,75,73,75,60
Aaron Cresswell,86,70.4,West Ham United,Average,Average,Average,Average,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Poor,Poor,Average,Good,Average,Excellent,Good,Excellent,Good,Average,Good,Average,Average,Good,Good,Average,Average,Good,Average,Good,Average,Average,Average,Average,Good,Average,Average,Average,Average,Average,Excellent,Good,Good,Good,70,73,70,68
Fabio Vieira,86,70.4,Arsenal,Good,Good,Good,Good,Poor,Average,Good,Average,Good,Good,Good,Good,Excellent,Good,Good,Average,Average,Excellent,Good,Good,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Good,Excellent,Average,Good,Average,Average,Average,Average,80,73,68,60
Mads Roerslev,85,70.4,Brentford,Good,Good,Average,Average,Average,Average,Good,Excellent,Average,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Good,Average,Excellent,Excellent,Good,Average,Average,Good,Good,Good,Excellent,Good,Average,Average,Average,Average,Good,Good,Good,Good,Average,Average,Average,Good,63,70,68,80
Tim Krul,84,69.6,Luton Town,Good,Good,Average,Good,Average,Good,Average,Excellent,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Average,Average,Poor,Average,Good,Excellent,Average,Average,Good,Average,Good,Good,Excellent,Excellent,Average,Excellent,Average,Good,Average,Excellent,Average,Good,Average,Good,62,70,78,68
Cedric Soares,85,69.6,Arsenal,Good,Good,Average,Good,Good,Average,Average,Good,Average,Average,Good,Good,Good,Average,Average,Average,Average,Average,Average,Good,Average,Good,Good,Average,Good,Average,Average,Good,Average,Average,Good,Good,Average,Good,Good,Good,Average,Average,Average,Average,Good,Good,Good,Good,Good,Average,Average,Average,68,70,68,72
Reiss Nelson,85,69.2,Arsenal,Average,Good,Excellent,Average,Poor,Average,Average,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Average,Good,Good,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Good,Good,Good,Good,Average,Average,Average,Average,78,70,68,60
Aaron Ramsdale,86,67.5,Arsenal,Good,Poor,Average,Average,Good,Excellent,Good,Excellent,Poor,Average,Average,Average,Average,Poor,Poor,Average,Average,Average,Average,Average,Good,Average,Good,Average,Good,Good,Average,Good,Excellent,Excellent,Average,Good,Good,Good,Average,Good,Average,Average,Average,Average,Poor,Poor,Average,Excellent,Average,Average,Average,Excellent,62,67,63,78
Marquinhos,84,65.4,Arsenal,Average,Good,Good,Average,Poor,Average,Average,Average,Good,Average,Average,Good,Good,Good,Good,Good,Average,Good,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Excellent,Good,Average,Average,Average,Average,Average,70,65,67,60
Ethan Nwaneri,84,64.2,Arsenal,Average,Good,Good,Average,Poor,Average,Average,Average,Good,Average,Good,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Average,Average,Average,Average,Average,65,67,65,60
Andre Onana,90,62.1,Manchester United,Good,Excellent,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,68,60,60
Raphael Varane,89,62.1,Manchester United,Good,Excellent,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,68,60,60
Ibrahima Konate,89,62.1,Liverpool,Good,Excellent,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,68,60,60
Leon Bailey,89,61.7,Aston Villa,Good,Good,Good,Average,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,67,60,60
Timothy Castagne,87,61.3,Fulham,Excellent,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,65,60,60
Jason Steele,85,60.8,Brighton,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,60,62,62,60
Dean Henderson,86,60.8,Crystal Palace,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,60,62,62,60
Kieran Trippier,88,60.8,Newcastle United,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Ben Mee,87,74.6,Brentford,Excellent,Average,Average,Average,Good,Excellent,Good,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Average,Average,Good,Excellent,Good,Good,Average,Average,60,73,75,90
Tom Cairney,86,60.8,Fulham,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Jack Cork,85,72.9,Burnley,Excellent,Good,Good,Good,Good,Excellent,Average,Excellent,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Good,Average,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Average,Good,Average,Average,Average,Average,Good,Average,Good,Good,Average,63,78,68,82
Tim Ream,87,60.8,Fulham,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Bernd Leno,87,70.4,Fulham,Excellent,Average,Average,Average,Good,Good,Good,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Average,Good,Good,Excellent,Average,Average,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Average,Excellent,Average,Good,Average,Good,62,72,73,75
Jose Sa,88,71.3,Wolverhampton Wanderers,Good,Good,Good,Average,Average,Good,Good,Excellent,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Average,Good,Good,Excellent,Average,Average,Good,Excellent,Good,Excellent,Good,Good,Average,Good,Average,Good,Average,Excellent,Average,Average,Average,Excellent,63,72,73,77
Seamus Coleman,87,75.4,Everton,Excellent,Good,Good,Average,Excellent,Excellent,Good,Excellent,Average,Average,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Average,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Average,Average,Good,Average,Good,Average,Good,Good,Good,Good,Average,Good,63,80,72,87
Alex Moreno,86,60.8,Aston Villa,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Lisandro Martinez,88,79.6,Manchester United,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Average,Good,Good,Excellent,Good,Average,Average,Good,Average,Average,Average,Average,Excellent,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Good,Good,Average,Good,Average,Good,Excellent,Excellent,Good,Average,Average,75,82,75,87
Mateo Kovacic,88,60.8,Manchester City,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Cheick Doucoure,87,60.8,Crystal Palace,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Sofyan Amrabat,87,60.8,Manchester United,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Luke Shaw,87,60.8,Manchester United,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Willian,88,60.8,Fulham,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Levi Colwill,87,60.8,Chelsea,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Christian Nørgaard,87,60.8,Brentford,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Billy Gilmour,86,60.8,Brighton,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Adam Wharton,87,60.8,Crystal Palace,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Caoimhin Kelleher,87,60.8,Liverpool,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Joachim Andersen,86,60.8,Crystal Palace,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Alfie Gilchrist,82,60.8,Chelsea,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Fabian Schar,87,60.8,Newcastle United,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Idrissa Gueye,87,60.8,Everton,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Ashley Young,85,60.8,Everton,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,63,60,60
Adam Webster,86,60.4,Brighton,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Matt Lowton,84,60.4,Burnley,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Danny Welbeck,86,60.4,Brighton,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Manuel Lanzini,85,60.4,West Ham United,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Lewis Dunk,87,60.4,Brighton,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Jeff Hendrick,84,60.4,Burnley,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Nick Pope,88,60.4,Newcastle United,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
Dwight McNeil,87,60.4,Everton,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,60,62,60,60
